If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Improving Angular performance with 1 line of code,MasterTech - Como ter um bom relacionamento com a Escrita,Apple is working on an AI system that wipes the floor with Google and everyone else,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack","Twitter killed Magic Recs, the only useful bot there is","Deep-learning algorithm predicts photos' memorability at ""near-human"" levels"
Google is testing a new Material Design layout for desktop searches,What to Inspect When You are Inspecting!,Hiri wants to fix the workplace email problem,Chromebase for meetings makes video-conferencing personal and simple,Ouça a música criada pela inteligência artificial do Google | Google Discovery,"Meet Articoolo, the robot writer with content for brains"
8 of the Sweetest Words for Candy,Rating the English Proficiency of Countries and Industries Around the World,Why a Universal Language Will Never Be a Thing,Research at Google,The Three Language Acquisition Stages,How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?
How to Think Exponentially and Better Predict the Future,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)","Facebook details its company-wide machine learning platform, FBLearner Flow",Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,Building more accessible technology,Skill swarms - a new way to share expertise and work smarter together - Skillhive
You don't talk about refactoring club,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,How Kotlin became our primary language for Android - UPTech Team,"Globo.com Uses NGINX for Streaming Media to 500,000+ Viewers",What Color is Your Function?
A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Mulheres são mais criativas que homens?,Criadas para casar,Google employees are adding 'Lady' to their job titles to fight sexism,Promoting gender equality through emoji �� ��
'The Simpsons' celebrates 600 episodes with a VR couch gag,"National Coming Out Day - Wikipedia, the free encyclopedia",MG promove até dia 15 conferência sobre diversidade sexual e cidadania LGBT,Comprar roupas está ficando fora de moda no Reino Unido,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Nova campanha da Avon tem drag queen como estrela
As expectativas das mulheres da Geração Y são muitas,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,A minha viagem à Maternidade #tetodomundo,O dia em que tive mais medo de estar errada.,Workplace diversity in Brazil: there's still a long way to go,"In war for talent, 'brogrammers' will be losers"
Micro Profile JavaEE com Wildfly Swarm,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Practical VPC Design - AWS Startup Collection,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Migrating to the New Java 8 Date Time API | Baeldung,Reactive log stream processing with RxJava - Part I
The Future of Digital Banking is Now,Uso de API's no mercado de serviços financeiros,Ordering coffee in Italy: the 10 commandments,To bot or not to bot,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
How Blockchain Technology Can Improve the Insurance Industry,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth,Banking Needs a Customer Experience Wake-Up Call,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",8 things to expect from Google's biggest event of the year
What exactly is a design culture? ,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Críticas de design: dizendo as coisas que precisam ser ditas,A identidade visual de Budapeste para as Olimpíadas de 2024,How to Think Exponentially and Better Predict the Future,The 'impossible' is now a reality
"Razorfish, US digital revenues, drag down Publicis",Optimize Your Agile Growth Strategy with Cloud,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,How AWS came to be,Walmart compra startup para brigar com Amazon | EXAME.com
7 lessons about finding the work you were meant to do,Accept questions from your audience when presenting in Google Slides,Staying one step ahead at Pixar: An interview with Ed Catmull,Inception (2010),"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",An operating model for company-wide agile development
360 million reasons to destroy all passwords - Free Code Camp,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Today in Apple history: iBook ushers in a Wi-Fi revolution,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
"Google CEO: Mobile will fade, AI will rise",Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Walmart compra startup para brigar com Amazon | EXAME.com,Carrefour começa a operar e-commerce no Brasil | EXAME.com
"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs",Apple and Google Are Teaming Up to Kill Robocalls Forever,This startup uses machine learning and satellite imagery to predict crop yields,The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,"contentId
6690761795935927461    Webinars | MATERA Systems
6690761795935927461    Webinars | MATERA Systems
Name: title, dtype: object",Brasileira do rúgbi é pedida em casamento durante premiação,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Walmart compra startup para brigar com Amazon | EXAME.com
Facebook Thinks It Has Found the Secret to Making Bots Less Dumb,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,11 incredible ways UK businesses are using chatbots,"Meet Articoolo, the robot writer with content for brains",Qualcomm Snapdragon 820 Deep Learning SDK Nudges Local Neural Nets Closer To Mainstream,OpenAI technical goals
2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,The return of the machinery question,Two Different Sales Motions . . . .,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Finding The Meaning Of Artificial Intelligence At Google I/O,Imagine Discovering That Your Teaching Assistant Really Is a Robot
Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,"STEMTera, uma protoboard com Arduino Uno embutido",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Curso mbed na KL25Z - Primeiros passos - Embarcados,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Put a ring on it: three smart rings with plenty of beauty and brains
8 things to expect from Google's biggest event of the year,Twitter adds a button to help you train its algorithm,These gloves can convert sign language into spoken English,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Grow fast or die slow: Focusing on customer success to drive growth
Mark A Trello Card As Done (And Drop The Mic On That Task),Cartórios Não Podem Recusar Registro De Filhos De Casais Homoafetivos,Campanha do Dicionário Houaiss pretende mudar a definição de família,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,[Kanban Boards] Is Pinnery the Better Trello?,Prototyping across borders - From Tulsa to Brazil - +Acumen
Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,How Mature is Your Organization when it Comes to UX?,35 Innovative and Inspirational Website Designs in Banking,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Being A Developer After 40 - Free Code Camp,Behind Facebook Messenger's plan to be an app platform,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,The emerging Darwinian approach to analytics and augmented intelligence
50 palestras online e gratuitas para você acompanhar em agosto,5 Asian Trends for 2017,My Approach to Mobile Accessibility Testing - Ministry of Testing,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR","Google tests a more personalized version of its virtual assistant, Google Now",O seu conteúdo está preparado para as duas internets?
Put a ring on it: three smart rings with plenty of beauty and brains,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES
Seguradoras divulgam resultados de 2016 - Apólice,LPIC-OT DevOps Engineer | Linux Professional Institute,What's the Best Programming Language to Learn in 2017?,Gartner: em 2020 não haverá mais aplicativos,Plano de Evolução - nível de qualidade equipe Java -,Discutindo Devops na Prática
Microsoft is taking its cues from Facebook as it totally shakes up Office,GE Digital snags ServiceMax for $915 million,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",Grow fast or die slow: Focusing on customer success to drive growth,Bitcoin In The Time Of Negative Interest Rates,You won't recognize the new world of digital payments without this report
"Código Aberto - Daniela Cachich, VP de Marketing, Heineken",Practical End-to-End Testing with Protractor,Are Chatbots Really The Future Of Web Design?,"How Reporters Pulled Off the Panama Papers, the Biggest Leak in Whistleblower History",Scalable Microservices with Kubernetes | Udacity,Get ready for Google I/O 2016
Amor sem fronteiras: série de fotos retrata casais gays pelo mundo,Sul dos EUA descobre consequências econômicas da homofobia | EXAME.com,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",Cartórios Não Podem Recusar Registro De Filhos De Casais Homoafetivos,"No dia das mães, Avon lança campanha com mãe de jovem gay",Campanha do Dicionário Houaiss pretende mudar a definição de família
